Phrase Table: 5,575 unique phrase pairs from 1000 sentence pairs (max phrase length = 5)
Costs are in bits: -log2(probability). Lower = more probable.

Source (Spanish)                         Target (English)                            cost(f|e)    cost(e|f)   count
estos cinco                              these five                                    -0.0000      -0.0000       1
estos cinco puntos                       these five points                             -0.0000      -0.0000       1
cinco puntos                             five points                                   -0.0000      -0.0000       1
debe ser                                 must be                                        2.0000      -0.0000       1
debe ser uno                             must be one                                   -0.0000      -0.0000       1
ser uno                                  be one                                        -0.0000      -0.0000       1
prioritarios                             priority                                       2.0000      -0.0000       1
creo que                                 i think that                                  -0.0000       2.0000       1
llegar                                   enter                                          1.5850       1.0000       1
diálogo                                  dialogue                                      -0.0000      -0.0000       1
diálogo con                              dialogue with                                 -0.0000      -0.0000       1
los grupos políticos                     political groups                               1.0000      -0.0000       1
compromiso                               compromise                                    -0.0000       2.0000       1
quizás                                   perhaps                                       -0.0000      -0.0000       1
para                                     might                                         -0.0000       6.0224       1
parecer                                  seem                                           1.5850      -0.0000       1
a                                        though                                         2.0000       6.8202       1
nosotros                                 we                                             5.4594       3.0000       1
nosotros creemos                         we believe                                     1.0000      -0.0000       1
estas directrices                        these directives                              -0.0000      -0.0000       1
directrices                              directives                                     2.3219       2.3219       1
iniciativas comunitarias                 community initiatives                         -0.0000      -0.0000       1
su aplicación                            their application                             -0.0000      -0.0000       1
propósitos                               purposes                                      -0.0000      -0.0000       1
estamos                                  discussing                                    -0.0000       2.0000       1
conseguir un                             to achieve a                                  -0.0000      -0.0000       1
más rápido                               more rapid                                    -0.0000      -0.0000       1
rápido                                   rapid                                         -0.0000      -0.0000       1
estos objetivos                          these objectives                              -0.0000      -0.0000       1
creemos                                  we think                                      -0.0000       1.5850       1
verdad garantizan                        really guarantee                              -0.0000      -0.0000       1
verdad garantizan las nuevas fuentes     really guarantee new sources                  -0.0000      -0.0000       1
garantizan                               guarantee                                      2.0000      -0.0000       1
garantizan las nuevas fuentes            guarantee new sources                         -0.0000      -0.0000       1
las nuevas fuentes                       new sources                                   -0.0000      -0.0000       1
esta iniciativa                          this initiative                               -0.0000      -0.0000       1
pequeños                                 small                                          2.5850      -0.0000       1
pequeños y                               small and                                     -0.0000      -0.0000       1
sobre todo                               , above all ,                                 -0.0000       2.3219       1
que participar                           to take part                                  -0.0000      -0.0000       1
que participar en                        to take part in                               -0.0000      -0.0000       1
que participar en la                     to take part in the                           -0.0000      -0.0000       1
participar                               take part                                     -0.0000      -0.0000       1
participar en                            take part in                                  -0.0000      -0.0000       1
participar en la                         take part in the                              -0.0000      -0.0000       1
en la                                    in the                                         1.0000      -0.0000       1
recepción                                receiving                                     -0.0000      -0.0000       1
una oportunidad                          an opportunity                                -0.0000      -0.0000       1
nuestros objetivos                       our objectives                                -0.0000      -0.0000       1
desigualdades entre                      disparities between                            1.0000      -0.0000       1
buscar                                   seek                                          -0.0000       1.0000       1
nuevas tecnologías                       new technologies                              -0.0000      -0.0000       1
sus esfuerzos                            its efforts                                   -0.0000      -0.0000       1
administraciones públicas                public administrations                        -0.0000      -0.0000       1
en                                       upon                                          -0.0000       7.5469       1
que                                      me                                             2.0000       7.6366       1
realidad                                 actually                                      -0.0000       1.5850       1
se                                       achieved                                       1.0000       6.5699       1
objetivo i                               objective 1                                    2.0000      -0.0000       1
su propio                                his own                                       -0.0000       1.0000       1
recordarle también                       also remind                                   -0.0000      -0.0000       1
recordarle                               remind                                         1.5850      -0.0000       1
su partido                               his party                                     -0.0000      -0.0000       1
estado para                              state for                                     -0.0000      -0.0000       1
libro                                    book                                          -0.0000      -0.0000       1
adicionalidad                            additionality                                 -0.0000      -0.0000       1
comisario wulf-mathies                   commissioner wulf-mathies                     -0.0000      -0.0000       1
wulf-mathies                             wulf-mathies                                  -0.0000      -0.0000       1
regulatorios                             regulatory                                    -0.0000      -0.0000       1
requisitos regulatorios                  regulatory requirements                       -0.0000      -0.0000       1
a                                        i                                              5.4263       6.8202       1
puedo decirle                            can tell you                                  -0.0000       1.0000       1
británico                                british                                       -0.0000      -0.0000       1
gobierno británico                       british government                            -0.0000      -0.0000       1
gobierno británico es                    british government is                         -0.0000      -0.0000       1
gobierno británico es consciente         british government is aware                   -0.0000      -0.0000       1
es consciente                            is aware                                      -0.0000      -0.0000       1
consciente                               aware                                         -0.0000       1.0000       1
del objetivo                             objective                                      3.7004      -0.0000       1
sugiero                                  suggest                                       -0.0000      -0.0000       1
leer                                     reads                                         -0.0000      -0.0000       1
mi grupo ha                              my group has                                  -0.0000      -0.0000       1
grupo ha                                 group has                                     -0.0000      -0.0000       1
enmiendas a                              amendments to                                  1.0000      -0.0000       1
hoy .                                    today .                                       -0.0000      -0.0000       1
papel                                    role                                          -0.0000      -0.0000       1
las directrices .                        guidelines .                                  -0.0000       1.0000       1
regeneración económica                   economic regeneration                         -0.0000      -0.0000       1
regeneración económica ,                 economic regeneration ,                       -0.0000      -0.0000       1
amplios                                  widest                                        -0.0000       1.0000       1
estas regiones                           these regions                                 -0.0000      -0.0000       1
al                                       road                                           3.3219       5.1293       1
es importante                            it is important to                            -0.0000       2.0000       1
es importante identificar                it is important to identify                   -0.0000      -0.0000       1
importante                               important to                                  -0.0000       4.9542       1
importante identificar                   important to identify                         -0.0000      -0.0000       1
identificar                              to identify                                   -0.0000       1.0000       1
identificar                              identify                                      -0.0000       1.0000       1
capacidades                              skills                                        -0.0000      -0.0000       1
capacidades y                            skills and                                    -0.0000      -0.0000       1
alta tecnología                          hi-tech                                       -0.0000      -0.0000       1
es particularmente                       it is particularly                            -0.0000      -0.0000       1
es particularmente importante            it is particularly important                  -0.0000      -0.0000       1
particularmente importante               particularly important                         1.5850      -0.0000       1
terreno                                  ground                                        -0.0000       1.0000       1
industrias                               industries                                    -0.0000      -0.0000       1
ronda anterior                           previous round                                -0.0000      -0.0000       1
ronda                                    round                                         -0.0000      -0.0000       1
también muy                              also very                                     -0.0000      -0.0000       1
que las directrices no deben             guidelines should not be                      -0.0000      -0.0000       1
no deben                                 not be                                         1.5850      -0.0000       1
deben                                    be                                             5.0875       2.0000       1
adicionales                              additional                                     1.0000      -0.0000       1
de burocracia                            of bureaucracy                                -0.0000      -0.0000       1
de burocracia y                          of bureaucracy and                            -0.0000      -0.0000       1
burocracia y                             bureaucracy and                               -0.0000       1.0000       1
ejecución y                              implementation and                            -0.0000      -0.0000       1
ejecución y funcionamiento               implementation and operation                  -0.0000      -0.0000       1
y funcionamiento                         and operation                                 -0.0000      -0.0000       1
no puede                                 cannot be                                     -0.0000       1.0000       1
personal                                 personal                                      -0.0000       1.0000       1
interpretación personal                  personal interpretation                       -0.0000      -0.0000       1
interpretación                           interpretation                                -0.0000      -0.0000       1
interna                                  internal                                       2.8074      -0.0000       1
coherencia interna                       internal coherence                            -0.0000      -0.0000       1
coherencia interna en                    internal coherence in                         -0.0000      -0.0000       1
coherencia                               coherence                                     -0.0000       1.0000       1
y locales                                local and                                     -0.0000      -0.0000       1
regionales y locales                     local and regional                            -0.0000      -0.0000       1
regionales y                             and regional                                   1.0000      -0.0000       1
conclusión es                            conclusion is                                 -0.0000      -0.0000       1
debemos hacer                            we must make                                  -0.0000      -0.0000       1
hacer                                    make                                           2.0000       3.0000       1
generales ,                              , indicative                                  -0.0000      -0.0000       1
generales                                indicative                                    -0.0000       2.0000       1
máximo potencial                         maximum potential                             -0.0000      -0.0000       1
regeneración .                           regeneration .                                -0.0000      -0.0000       1
un espíritu                              a spirit                                      -0.0000      -0.0000       1
empresarial                              entrepreneurial                               -0.0000      -0.0000       1
actividad empresarial                    entrepreneurial activity                      -0.0000      -0.0000       1
pobres y                                 poor and                                      -0.0000      -0.0000       1
pobres y estructuralmente                poor and structurally                         -0.0000      -0.0000       1
pobres y estructuralmente débiles        poor and structurally weak                    -0.0000      -0.0000       1
y estructuralmente                       and structurally                              -0.0000      -0.0000       1
y estructuralmente débiles               and structurally weak                         -0.0000      -0.0000       1
estructuralmente                         structurally                                  -0.0000      -0.0000       1
estructuralmente débiles                 structurally weak                             -0.0000      -0.0000       1
los                                      them                                           3.0000       5.5546       1
éxito futuro                             future success                                -0.0000      -0.0000       1
éxito futuro .                           future success .                              -0.0000      -0.0000       1
juzgar                                   judge                                          1.0000      -0.0000       1
buenas                                   a good                                        -0.0000       2.0000       1
plenamente                               enabling                                      -0.0000       1.0000       1
pueden abrir                             can open                                      -0.0000      -0.0000       1
abrir                                    open                                          -0.0000      -0.0000       1
nuevas oportunidades                     new opportunities                             -0.0000      -0.0000       1
permitir                                 allow                                          1.5850      -0.0000       1
prosperidad                              prosperity                                    -0.0000      -0.0000       1
buen                                     excellent                                      2.5850      -0.0000       1
tomado                                   took                                          -0.0000       2.0000       1
sido                                     was                                            4.0875       3.3219       1
tiempo en                                in time                                       -0.0000      -0.0000       1
nos encontramos seriamente retrasados    we are badly behind                           -0.0000      -0.0000       1
ahora nos encontramos seriamente retrasados we are badly behind now                       -0.0000      -0.0000       1
encontramos seriamente retrasados        are badly behind                              -0.0000      -0.0000       1
en esta                                  in this                                        2.5850      -0.0000       1
en esta cuestión                         in this matter                                -0.0000      -0.0000       1
en esta cuestión .                       in this matter .                              -0.0000      -0.0000       1
esta cuestión                            this matter                                    1.0000       2.0000       1
esta cuestión .                          this matter .                                 -0.0000       1.0000       1
cuestión .                               matter .                                      -0.0000       1.5850       1
que las                                  taken                                          2.5850      -0.0000       1
ejecución práctica                       practical implementation                      -0.0000      -0.0000       1
se ha                                    was being                                     -0.0000       2.5850       1
fase                                     debated                                        1.0000       1.0000       1
se han                                   been raised                                   -0.0000       3.0000       1
han                                      raised                                        -0.0000       4.5236       1
anteriores                               previous                                       2.8074      -0.0000       1
informes anteriores                      previous reports                              -0.0000      -0.0000       1
informes anteriores .                    previous reports .                            -0.0000      -0.0000       1
más importante                           more important                                -0.0000       1.0000       1
concentrarse                             concentrate                                   -0.0000      -0.0000       1
encauzar                                 steer                                         -0.0000      -0.0000       1
nuestro grupo destaca                    our group emphasises                          -0.0000      -0.0000       1
grupo destaca                            group emphasises                              -0.0000      -0.0000       1
destaca                                  emphasises                                    -0.0000      -0.0000       1
importancia                              important                                      4.8580       3.9069       1
realización                              implementation                                 2.8074      -0.0000       1
nuestro grupo también                    our group also                                -0.0000      -0.0000       1
grupo también                            group also                                    -0.0000      -0.0000       1
en cuenta                                account                                        3.0000      -0.0000       1
se                                       implemented                                    1.0000       6.5699       1
ha                                       had                                            2.5850       6.0875       1
procedimientos                           complicated                                   -0.0000       2.3219       1
procedimientos administrativos           complicated administrative                    -0.0000      -0.0000       1
administrativos                          administrative                                 1.0000      -0.0000       1
menudo                                   often                                          2.3219      -0.0000       1
menudo se                                often been                                    -0.0000      -0.0000       1
proyectos que                            projects which                                -0.0000      -0.0000       1
beneficio                                benefit                                        1.0000      -0.0000       1
la zona                                  the area                                      -0.0000      -0.0000       1
zona                                     area                                           2.8074      -0.0000       1
hay                                      efficiently                                   -0.0000       3.4594       1
un                                       while                                         -0.0000       6.8074       1
los nuevos diputados                     new members                                   -0.0000      -0.0000       1
de nuestro                               our                                            5.4919      -0.0000       1
de nuestro grupo                         our group                                      2.3219      -0.0000       1
prueba                                   proof                                         -0.0000      -0.0000       1
que este                                 that this                                      1.5850      -0.0000       1
que este parlamento                      that this parliament                          -0.0000      -0.0000       1
colega                                   fellow                                         1.0000       2.3219       1
al                                       able to                                        1.0000       5.1293       1
llegar al                                able to reach                                 -0.0000      -0.0000       1
llegar al pleno                          able to reach plenary                         -0.0000      -0.0000       1
llegar                                   reach                                         -0.0000       1.0000       1
ya                                       offices                                       -0.0000       3.8074       1
orientaciones                            guidelines                                     3.8074      -0.0000       1
al                                       able                                           2.8074       5.1293       1
trabajo                                  reversing                                     -0.0000       4.3923       1
existentes                               exist                                          1.0000      -0.0000       1
sociedad europea                         european society                              -0.0000      -0.0000       1
no deberíamos                            we should not                                 -0.0000      -0.0000       1
no deberíamos olvidar                    we should not forget                          -0.0000      -0.0000       1
no deberíamos olvidar que                we should not forget that                     -0.0000      -0.0000       1
olvidar que                              forget that                                   -0.0000      -0.0000       1
su coordinación                          their coordination                            -0.0000      -0.0000       1
es conseguir                             is to achieve                                 -0.0000      -0.0000       1
tenemos la                               we                                             5.4594      -0.0000       1
la elaboración                           drafting                                       1.5850      -0.0000       1
las directrices y                        directives and                                -0.0000      -0.0000       1
las directrices y también                directives and also                           -0.0000      -0.0000       1
y también                                and also                                      -0.0000      -0.0000       1
evaluación                               assessing                                      1.0000       1.5850       1
la evaluación                            assessing                                      1.0000      -0.0000       1
los fondos son                           funds are                                      1.0000      -0.0000       1
los fondos son una                       funds are a                                   -0.0000      -0.0000       1
son una                                  are a                                         -0.0000      -0.0000       1
cohesión económica y social .            economic and social cohesion .                -0.0000      -0.0000       1
bruto                                    gross                                         -0.0000      -0.0000       1
por                                      per                                           -0.0000       6.3576       1
por habitante                            per inhabitant                                -0.0000      -0.0000       1
habitante                                inhabitant                                    -0.0000       1.5850       1
han                                      speakers                                       2.0000       4.5236       1
,                                        have                                           4.8074       7.2946       1
peor situación                           worse situation than others                   -0.0000      -0.0000       1
cinco veces                              five times                                    -0.0000      -0.0000       1
parlamento europeo ,                     european parliament ,                         -0.0000      -0.0000       1
comisión a                               commission                                     7.0334      -0.0000       1
actuar                                   act                                            1.0000       1.5850       1
a actuar                                 act                                            1.0000      -0.0000       1
final                                    end                                            1.0000      -0.0000       1
las directrices .                        directives .                                  -0.0000       1.0000       1
no creo                                  i do not think                                -0.0000      -0.0000       1
informe llegue                           report has come too                           -0.0000      -0.0000       1
llegue                                   has come too                                  -0.0000      -0.0000       1
necesitamos                              we need                                        1.5850      -0.0000       1
mitad                                    halfway                                       -0.0000       1.0000       1
a mitad                                  halfway through                               -0.0000      -0.0000       1
los ciudadanos no                        citizens cannot                               -0.0000      -0.0000       1
una forma                                in a way                                       1.0000      -0.0000       1
al menos                                 at least                                      -0.0000      -0.0000       1
burocrática                              bureaucratic                                  -0.0000      -0.0000       1
burocrática .                            bureaucratic .                                -0.0000      -0.0000       1
dimensión política                       political dimension                           -0.0000      -0.0000       1
dimensión                                dimension                                     -0.0000      -0.0000       1
comunicación con                         communication with                            -0.0000      -0.0000       1
ciudadanos .                             citizens .                                     1.0000      -0.0000       1
eso es                                   this is                                        2.3219      -0.0000       1
eso es lo                                this is what                                  -0.0000      -0.0000       1
eso es lo que                            this is what we                               -0.0000      -0.0000       1
es lo                                    is what                                        1.0000      -0.0000       1
es lo que                                is what we                                    -0.0000       1.0000       1
lo que                                   what we                                       -0.0000       2.0000       1
yo quiero                                i would like                                   4.4594      -0.0000       1
pensar                                   think                                         -0.0000      -0.0000       1
pensar que                               think that                                    -0.0000      -0.0000       1
su anterior                              his previous                                  -0.0000      -0.0000       1
desde su anterior experiencia            his previous experience                       -0.0000      -0.0000       1
presidente regional                      regional president                            -0.0000      -0.0000       1
unos indicadores                         indicators                                     1.0000      -0.0000       1
señor presidente , doy                   mr president , i                              -0.0000      -0.0000       1
presidente , doy                         president , i                                 -0.0000      -0.0000       1
, doy                                    , i                                            1.0000      -0.0000       1
doy                                      i                                              5.4263      -0.0000       1
administración                           administration                                -0.0000      -0.0000       1
periodo 2000-2006                        period 2000-2006                               2.0000      -0.0000       1
que aconsejan                            which include                                 -0.0000      -0.0000       1
aconsejan                                include                                        1.0000      -0.0000       1
siguiente                                following                                      2.0000      -0.0000       1
siguiente :                              following :                                   -0.0000      -0.0000       1
esto significa                           this means                                    -0.0000      -0.0000       1
esto significa que                       this means that                               -0.0000      -0.0000       1
ha                                       comprehensive                                 -0.0000       6.0875       1
cooperación                              partnership                                    1.5850       1.5850       1
entre las autoridades locales            between local authorities                     -0.0000      -0.0000       1
entre las autoridades locales y          between local authorities and                 -0.0000      -0.0000       1
las autoridades locales                  local authorities                             -0.0000      -0.0000       1
las autoridades locales y                local authorities and                         -0.0000      -0.0000       1
y los gobiernos nacionales               and national governments                      -0.0000      -0.0000       1
y los gobiernos nacionales con           and national governments with                 -0.0000      -0.0000       1
los gobiernos nacionales                 national governments                          -0.0000      -0.0000       1
los gobiernos nacionales con             national governments with                     -0.0000      -0.0000       1
los gobiernos nacionales con respecto    national governments with regard              -0.0000      -0.0000       1
una mayor importancia                    greater importance                            -0.0000      -0.0000       1
integradas                               integrated                                     1.0000      -0.0000       1
estrategias integradas                   integrated strategies                         -0.0000      -0.0000       1
estrategias integradas para              integrated strategies for                     -0.0000      -0.0000       1
relaciones                               relations                                     -0.0000       1.0000       1
relaciones entre                         relations between                             -0.0000      -0.0000       1
ciudades y                               towns and                                     -0.0000      -0.0000       1
este último                              this latter                                   -0.0000      -0.0000       1
este último punto                        this latter point                             -0.0000      -0.0000       1
este último punto es                     this latter point is                          -0.0000      -0.0000       1
este último punto es de                  this latter point is of                       -0.0000      -0.0000       1
último                                   latter                                        -0.0000       3.1699       1
último punto                             latter point                                  -0.0000      -0.0000       1
último punto es                          latter point is                               -0.0000      -0.0000       1
último punto es de                       latter point is of                            -0.0000      -0.0000       1
último punto es de particular            latter point is of particular                 -0.0000      -0.0000       1
punto es                                 point is                                      -0.0000       1.5850       1
punto es de                              point is of                                   -0.0000      -0.0000       1
punto es de particular                   point is of particular                        -0.0000      -0.0000       1
punto es de particular importancia       point is of particular importance             -0.0000      -0.0000       1
es de                                    is of                                         -0.0000      -0.0000       1
es de particular                         is of particular                              -0.0000      -0.0000       1
es de particular importancia             is of particular importance                   -0.0000      -0.0000       1
es de particular importancia .           is of particular importance .                 -0.0000      -0.0000       1
de particular                            of particular                                 -0.0000      -0.0000       1
de particular importancia                of particular importance                      -0.0000      -0.0000       1
de particular importancia .              of particular importance .                    -0.0000      -0.0000       1
particular importancia                   particular importance                         -0.0000      -0.0000       1
particular importancia .                 particular importance .                       -0.0000      -0.0000       1
importancia .                            importance .                                  -0.0000      -0.0000       1
urbana                                   urban                                         -0.0000      -0.0000       1
renovación urbana                        urban renewal                                 -0.0000      -0.0000       1
renovación                               renewal                                       -0.0000      -0.0000       1
es muy importante , es                   is very important we                          -0.0000      -0.0000       1
muy importante ,                         very important we                             -0.0000      -0.0000       1
importante ,                             important we                                  -0.0000      -0.0000       1
buscar siempre                           always strike                                 -0.0000      -0.0000       1
buscar siempre un                        always strike a                               -0.0000      -0.0000       1
buscar siempre un equilibrio             always strike a balance                       -0.0000      -0.0000       1
buscar                                   strike                                        -0.0000       1.0000       1
un equilibrio                            a balance                                     -0.0000      -0.0000       1
desarrollo rural y                       rural development and                         -0.0000      -0.0000       1
de ciudades                              of cities                                     -0.0000      -0.0000       1
ciudades                                 cities                                        -0.0000       2.0000       1
han desempeñado                          have played                                   -0.0000      -0.0000       1
han desempeñado un                       have played a                                 -0.0000      -0.0000       1
principalmente                           mainly                                         1.0000      -0.0000       1
principalmente a través                  mainly through                                -0.0000      -0.0000       1
a través                                 through                                        2.3219      -0.0000       1
aguas                                    water                                         -0.0000      -0.0000       1
del tratamiento                          treatment                                      1.0000      -0.0000       1
este proceso                             this process                                  -0.0000      -0.0000       1
este proceso continuará                  this process will continue                    -0.0000      -0.0000       1
proceso continuará                       process will continue                         -0.0000      -0.0000       1
continuará                               will continue                                 -0.0000      -0.0000       1
acuerdo                                  accordance                                     1.0000       2.8074       1
acuerdo con                              accordance with                               -0.0000       1.0000       1
gasto financiero                         financial spending                            -0.0000      -0.0000       1
gasto                                    spending                                      -0.0000      -0.0000       1
entre 1989                               between 1989                                  -0.0000      -0.0000       1
entre 1989 , 1993 ,                      between 1989 , 1993 ,                         -0.0000      -0.0000       1
1989                                     1989                                          -0.0000      -0.0000       1
1989 , 1993 ,                            1989 , 1993 ,                                 -0.0000      -0.0000       1
1989 , 1993 , 1994                       1989 , 1993 , 1994                            -0.0000      -0.0000       1
, 1993 ,                                 , 1993 ,                                      -0.0000      -0.0000       1
, 1993 , 1994                            , 1993 , 1994                                 -0.0000      -0.0000       1
1993                                     1993                                          -0.0000       1.0000       1
1994                                     1994                                          -0.0000      -0.0000       1
1999 han                                 1999 have                                     -0.0000      -0.0000       1
1999 han contribuido ciertamente         1999 have certainly helped                    -0.0000      -0.0000       1
1999 han contribuido ciertamente a       1999 have certainly helped to                 -0.0000      -0.0000       1
han contribuido ciertamente              have certainly helped                         -0.0000      -0.0000       1
han contribuido ciertamente a            have certainly helped to                      -0.0000      -0.0000       1
han contribuido ciertamente a mejorar    have certainly helped to improve              -0.0000      -0.0000       1
contribuido ciertamente                  certainly helped                              -0.0000      -0.0000       1
contribuido ciertamente a                certainly helped to                           -0.0000      -0.0000       1
contribuido ciertamente a mejorar        certainly helped to improve                   -0.0000      -0.0000       1
contribuido                              helped                                        -0.0000      -0.0000       1
a mejorar                                to improve                                    -0.0000      -0.0000       1
competitividad económica                 economic competitiveness                      -0.0000      -0.0000       1
comprendidas en                          within                                         3.1699      -0.0000       1
europa comprendidas en                   within europe                                 -0.0000      -0.0000       1
clave ahora                              key now                                       -0.0000      -0.0000       1
clave ahora es                           key now is                                    -0.0000      -0.0000       1
ahora es                                 now is                                        -0.0000      -0.0000       1
